,spot,x,y,rmse,pcc,snr,model,cvFold
20x10,20x10,20,10,2.1221886605053557,0.5694067964227039,2.5695163608664977,knnSmooth,3
20x11,20x11,20,11,2.298620301541639,0.5642660369490299,2.6589754007078277,knnSmooth,3
20x12,20x12,20,12,1.9145477895970173,0.6759977922660121,2.5868362116713373,knnSmooth,3
20x13,20x13,20,13,2.66890026443918,0.5161307631661937,2.2717833088010524,knnSmooth,3
20x14,20x14,20,14,2.2201353753179145,0.6191059784440844,2.526837719699577,knnSmooth,3
20x15,20x15,20,15,1.7309622483150042,0.6694235805933211,2.8184301666650957,knnSmooth,3
20x16,20x16,20,16,2.5526805225383327,0.5495913403262209,2.3691134821586313,knnSmooth,3
20x17,20x17,20,17,2.9916870460097065,0.4983462768923248,2.3872184391717846,knnSmooth,3
20x18,20x18,20,18,4.258082673723848,0.5272862315645752,1.6644983382716811,knnSmooth,3
20x19,20x19,20,19,3.8426791915329974,0.5055854530367927,1.9027997518822253,knnSmooth,3
20x20,20x20,20,20,3.038198257973736,0.5281204851924329,2.331819806563734,knnSmooth,3
20x21,20x21,20,21,3.5381987724538675,0.5332606539057512,2.0295942899861594,knnSmooth,3
20x22,20x22,20,22,3.17027924551374,0.526505852471867,2.1671948049388154,knnSmooth,3
20x23,20x23,20,23,3.2242841628386483,0.5225602105957055,2.1695231486521664,knnSmooth,3
20x24,20x24,20,24,4.057220014002291,0.4744460647515592,1.810595078047771,knnSmooth,3
20x25,20x25,20,25,2.750642712080273,0.5032405371385166,2.5972592945783157,knnSmooth,3
20x26,20x26,20,26,4.4597724726843655,0.5794322785759468,1.4336649636761227,knnSmooth,3
20x27,20x27,20,27,3.515724517008116,0.5253201605581609,2.1643022432252286,knnSmooth,3
20x28,20x28,20,28,3.6601605431318065,0.4703530456534975,2.0286585645081447,knnSmooth,3
21x6,21x6,21,6,4.237942219733038,0.45872826557826835,1.4611704729165214,knnSmooth,3
21x7,21x7,21,7,3.503940449629127,0.48926875513707035,1.8713946508216273,knnSmooth,3
21x8,21x8,21,8,2.0465930347333514,0.5827093749161444,2.685086942625171,knnSmooth,3
21x9,21x9,21,9,3.894398725548268,0.5187997066845914,1.6328102411037444,knnSmooth,3
21x10,21x10,21,10,3.0367919435956643,0.51181049517663,2.1001043415099256,knnSmooth,3
21x11,21x11,21,11,3.240775484820478,0.5180576028558135,1.953358030044492,knnSmooth,3
21x12,21x12,21,12,2.4967243321492996,0.595256532487277,2.383719096039913,knnSmooth,3
21x13,21x13,21,13,1.8041960888918314,0.6473994851402426,2.7339591249007906,knnSmooth,3
21x14,21x14,21,14,2.1807361251442994,0.5329989855875799,2.492411947374057,knnSmooth,3
21x15,21x15,21,15,1.696740459616388,0.6341396297080529,2.778561338796149,knnSmooth,3
21x16,21x16,21,16,2.7582254043455814,0.5368138177889102,2.3882285383074295,knnSmooth,3
21x17,21x17,21,17,2.4082476834179274,0.5213566014571367,2.7621055968762493,knnSmooth,3
21x18,21x18,21,18,3.1561982827057484,0.4900633843021862,2.4343468001026185,knnSmooth,3
21x19,21x19,21,19,3.571126008345824,0.5048801628600819,2.1272768893734226,knnSmooth,3
21x20,21x20,21,20,3.1584998285341745,0.5069538672075007,2.372569651990529,knnSmooth,3
21x21,21x21,21,21,3.7428115929095163,0.540070260178236,1.5246512930273914,knnSmooth,3
21x22,21x22,21,22,3.1307308648674654,0.5676503597697466,2.0196713304438814,knnSmooth,3
21x23,21x23,21,23,1.8269527990930168,0.6135263664843007,2.9184435765296373,knnSmooth,3
21x24,21x24,21,24,2.8609467530506425,0.4988807464022587,2.4327882219475394,knnSmooth,3
21x25,21x25,21,25,3.3643325124618895,0.5494611629963811,1.892403143429437,knnSmooth,3
21x26,21x26,21,26,2.8404454192261652,0.5535097646491929,2.3444523657077974,knnSmooth,3
21x27,21x27,21,27,4.076828624383639,0.5002524559001145,1.7604787206875514,knnSmooth,3
21x28,21x28,21,28,2.2823206589597476,0.4839231021151398,2.7827365084306126,knnSmooth,3
22x6,22x6,22,6,2.0521871917145544,0.5531512884302182,2.633921776259043,knnSmooth,3
22x7,22x7,22,7,2.726856361048509,0.5397808439776395,2.3430381847985537,knnSmooth,3
22x8,22x8,22,8,2.577268014883348,0.5518956842042159,2.405585666085164,knnSmooth,3
22x9,22x9,22,9,3.8565322856900734,0.4779637381850661,1.5695329727596634,knnSmooth,3
22x10,22x10,22,10,2.8312520641044463,0.6007453040053933,2.161178177540486,knnSmooth,3
22x11,22x11,22,11,2.130261055117572,0.587224745300526,2.620705398236087,knnSmooth,3
22x12,22x12,22,12,2.104409030912611,0.587335693465955,2.704746775206759,knnSmooth,3
22x13,22x13,22,13,2.0657881361541617,0.5221277126570629,2.6362031261336685,knnSmooth,3
22x14,22x14,22,14,2.6029650649652574,0.5261531581831508,2.318544964112797,knnSmooth,3
22x15,22x15,22,15,2.5002090918737854,0.5080139535374698,2.4768292869754025,knnSmooth,3
22x16,22x16,22,16,4.882073727406828,0.5291196302525326,1.0720604245343772,knnSmooth,3
22x17,22x17,22,17,4.6499938464948976,0.4905507270293141,1.396304278237853,knnSmooth,3
22x18,22x18,22,18,4.549804681332295,0.5146137922084464,1.4376320152162703,knnSmooth,3
22x19,22x19,22,19,4.071499396815431,0.5009981851184815,1.5861397558117702,knnSmooth,3
22x20,22x20,22,20,3.511187561410579,0.4985387056167825,1.7764331124624904,knnSmooth,3
22x21,22x21,22,21,2.4515464242317146,0.5650939514642501,2.5051514342350445,knnSmooth,3
22x22,22x22,22,22,3.218643324691726,0.5990012926810634,2.00343955482437,knnSmooth,3
22x23,22x23,22,23,2.9326955112543622,0.620408272795743,2.1000350655951903,knnSmooth,3
22x24,22x24,22,24,3.8573968873725084,0.5012954835517587,1.9879397292448422,knnSmooth,3
22x25,22x25,22,25,3.755018684936867,0.5050017217903315,1.7484174018744378,knnSmooth,3
22x26,22x26,22,26,2.6454112158474223,0.6113888051476715,2.39192275315907,knnSmooth,3
22x27,22x27,22,27,5.856190079513133,0.558484871873881,0.7150062702143067,knnSmooth,3
23x7,23x7,23,7,6.151074955692596,0.5281711492226565,0.11881826901816195,knnSmooth,3
23x8,23x8,23,8,4.651286667860964,0.5080464203944174,1.096167452250146,knnSmooth,3
23x9,23x9,23,9,2.423881455777343,0.5809555283454213,2.70123840159733,knnSmooth,3
23x10,23x10,23,10,3.1040480001806507,0.5172084447093342,2.1198478886000527,knnSmooth,3
23x11,23x11,23,11,2.6359086719458156,0.6038487769069114,2.3791688640503676,knnSmooth,3
23x12,23x12,23,12,2.311973801613846,0.5233234194428542,2.547067739540011,knnSmooth,3
23x13,23x13,23,13,3.0523843568224778,0.4564922046607437,2.1866096308158802,knnSmooth,3
23x14,23x14,23,14,2.0774029854323564,0.5277461332232345,2.8218121426255016,knnSmooth,3
23x15,23x15,23,15,3.8128842492295765,0.48201533966024357,1.710587163662347,knnSmooth,3
23x16,23x16,23,16,3.6049099193494887,0.5360005244799366,2.0559861859731563,knnSmooth,3
23x17,23x17,23,17,3.0507745973706517,0.5329839267696346,2.19135808026834,knnSmooth,3
23x18,23x18,23,18,4.052304312521216,0.5153185177968008,1.5394976843581727,knnSmooth,3
23x19,23x19,23,19,3.09143542364556,0.5622149088241096,2.077359744995898,knnSmooth,3
23x20,23x20,23,20,2.547767257244502,0.6195395680957689,2.35687277386626,knnSmooth,3
23x21,23x21,23,21,2.5487697097397053,0.6952211068718898,2.342289664020569,knnSmooth,3
23x22,23x22,23,22,2.4460918673310896,0.6382685534762849,2.441773795823952,knnSmooth,3
23x23,23x23,23,23,2.5045511506355056,0.6231610084810507,2.5180775178596266,knnSmooth,3
23x24,23x24,23,24,2.4965195306904384,0.5177448956500835,2.6566301735215916,knnSmooth,3
23x25,23x25,23,25,6.673309901475173,0.47661905850175057,0.61857586942312,knnSmooth,3
