,spot,x,y,rmse,pcc,snr,model,cvFold
13x10,13x10,13,10,0.9417915795551214,0.588538166280195,3.309014433475688,mcImpute,3
13x11,13x11,13,11,0.9722862652247362,0.5277856532439361,3.239681072509091,mcImpute,3
13x21,13x21,13,21,0.8561992565756243,0.392249856388283,3.4991236183204215,mcImpute,3
13x22,13x22,13,22,0.9001784734977412,0.3878784113895817,3.4516813355924443,mcImpute,3
13x24,13x24,13,24,0.910440417921431,0.42491821329742385,3.363752103589693,mcImpute,3
13x25,13x25,13,25,0.9419958985287225,0.44403259865611244,3.2824001030344894,mcImpute,3
13x26,13x26,13,26,0.8895218440005476,0.45768634117819873,3.3727349558188475,mcImpute,3
13x27,13x27,13,27,0.903433319160333,0.4757443333945595,3.347651115554314,mcImpute,3
13x28,13x28,13,28,0.9826642449366901,0.47345664839822543,3.212660855313266,mcImpute,3
13x29,13x29,13,29,0.9871329667232378,0.4934036935952457,3.211476296838129,mcImpute,3
13x30,13x30,13,30,0.8770719514906963,0.450867786978378,3.468707471698049,mcImpute,3
13x9,13x9,13,9,1.0418014437990246,0.5549890891419569,3.2116422161014193,mcImpute,3
14x10,14x10,14,10,0.9936687363099901,0.5080866038274789,3.225146494169228,mcImpute,3
14x11,14x11,14,11,1.002319723713319,0.4252899211688145,3.174487661792825,mcImpute,3
14x20,14x20,14,20,0.8779519579412824,0.4076811620904167,3.4765556381373752,mcImpute,3
14x21,14x21,14,21,0.9969222072948621,0.35869454478298624,3.2734850482881006,mcImpute,3
14x22,14x22,14,22,0.8819307851891337,0.38983533600935383,3.443008388347792,mcImpute,3
14x23,14x23,14,23,0.8240241268955639,0.43043310244652133,3.5313788990092085,mcImpute,3
14x24,14x24,14,24,0.90130854450455,0.39817030767599393,3.3667815787823074,mcImpute,3
14x25,14x25,14,25,0.8023520085828253,0.44456987523417035,3.6068558258056322,mcImpute,3
14x26,14x26,14,26,0.8829136557492333,0.4621623981973349,3.4087011550607453,mcImpute,3
14x27,14x27,14,27,0.9555130111849861,0.48258082887940845,3.3709430831541365,mcImpute,3
14x28,14x28,14,28,0.9342039280853236,0.5012750301628869,3.3012462106119553,mcImpute,3
14x29,14x29,14,29,1.0538778468947183,0.46425801372134623,3.136699628656496,mcImpute,3
14x30,14x30,14,30,0.966684149056831,0.46508057105664524,3.3471853134029956,mcImpute,3
14x9,14x9,14,9,0.9256477437838192,0.5120778688770409,3.2975995091682466,mcImpute,3
15x10,15x10,15,10,0.9540927827257489,0.5902289299399123,3.2427212313220797,mcImpute,3
15x11,15x11,15,11,1.0502023489595398,0.5995290456589872,3.1352037499328422,mcImpute,3
15x18,15x18,15,18,0.9900572486424601,0.42259076576932747,3.4330534074076406,mcImpute,3
15x20,15x20,15,20,0.8845438188632331,0.39931694470904894,3.4663675804176615,mcImpute,3
15x21,15x21,15,21,0.8858628878350431,0.40560763513719805,3.4832103998802433,mcImpute,3
15x22,15x22,15,22,0.9559879092459789,0.4150677446890385,3.268798349889068,mcImpute,3
15x23,15x23,15,23,0.9482016152522029,0.5199082373863941,3.2948327957494596,mcImpute,3
15x24,15x24,15,24,0.9521134405714347,0.5742869460594642,3.277646169868353,mcImpute,3
15x25,15x25,15,25,0.9471340806073101,0.36426676030403105,3.3292957793852547,mcImpute,3
15x26,15x26,15,26,0.8550137526051327,0.44362881025712414,3.647992689624722,mcImpute,3
15x27,15x27,15,27,0.9949501811183701,0.43203763966785824,3.1911336088510653,mcImpute,3
15x28,15x28,15,28,0.9180573432693624,0.5153015746415496,3.3286979613695302,mcImpute,3
15x29,15x29,15,29,1.054789058319895,0.49293982172614687,3.150593858708569,mcImpute,3
15x30,15x30,15,30,0.9345072537759698,0.4688494302337403,3.350703088895133,mcImpute,3
15x9,15x9,15,9,0.990716948716982,0.5847922473820659,3.185203571394527,mcImpute,3
