,gene,pval,sig,lfc,DEG
492,LY6E,1.822380219696236e-13,8.96636170204621,4.286082461217624,Up
1771,PKM,1.9085544381613378e-13,8.948095534995076,3.796493574063577,Up
4747,CD22,2.790135780071456e-13,8.79560463495087,-4.908047898174278,Down
20,IGFBP7,2.954723559981678e-13,8.772339538027477,-3.405325748858658,Down
90,HLA-DQB1,3.3896348489374296e-13,8.716048052808054,-3.706277093395114,Down
377,UBB,3.887252548703288e-13,8.659559615723134,1.2788888945707342,Up
65,WARS,4.209956841526237e-13,8.626485267776939,4.52485581020325,Up
2331,MYADM,5.22439316517092e-13,8.53636357644656,5.182570877761271,Up
1239,SLC6A8,6.625779557852246e-13,8.436434575059593,5.164210446389003,Up
1544,PCDH7,8.780350333965484e-13,8.317142302134744,5.069150065349682,Up
5,NELL1,9.081178298553768e-13,8.302888526086276,5.227587876755684,Up
1339,ALDH1A3,1.0158839552558886e-12,8.255225866374316,5.195826463721122,Up
2043,LOXL4,1.0864669810321637e-12,8.22662954855075,5.268917406386429,Up
1117,APOD,1.1235413204258447e-12,8.212375412432474,5.16052263342919,Up
155,SPARCL1,1.2014527249852576e-12,8.183787698473143,3.571842619984319,Up
407,RPLP2,1.284658803996989e-12,8.155233524891388,-0.4570260087470803,Not significant
57,RPL8,1.3735117623607498e-12,8.126681157133346,0.810564465554716,Not significant
413,ACTG1,1.874523464151643e-12,7.9932475686084326,0.6491501249906637,Not significant
2806,RIPK4,2.0707784884104873e-12,7.950483245034478,5.142144710667453,Up
448,PTTG1IP,2.3381606185050434e-12,7.898273905467964,4.526435187490277,Up
450,TUBB,2.525647331759316e-12,7.865105538884531,2.943549554713413,Up
1140,HMCN1,2.525647331759316e-12,7.865105538884531,4.909150637193871,Up
2045,FKBP10,2.788489528226757e-12,7.822578433182764,4.9138151666304815,Up
4016,HLA-DPA1,2.788489528226757e-12,7.822578433182764,-2.992012754268976,Down
702,RPL35,2.9784313243524923e-12,7.794302002840614,-0.7928083508887216,Not significant
2818,PTGDS,3.360161591730533e-12,7.7423071085279105,-4.320574141368727,Down
463,VIM,3.748565707563988e-12,7.6951375691235,0.9496065784528476,Not significant
129,HSPD1,4.090685583254735e-12,7.657461912577822,4.186053879822285,Up
4121,HLA-DRB1,4.976265709436786e-12,7.572793165609543,-3.6899252333298582,Down
107,RPL21,5.141101835879424e-12,7.558770661837672,-0.510085579733115,Not significant
1153,SOX10,5.792568635084205e-12,7.5072126058328985,5.053032777757939,Up
